,Año,Id_Municipio,Nombre_Municipio,Poblacion,Total_Accidentes,Tasa_Accidentes,Total_Muertes,Tasa_Muertos,Total_Muertes_Alcohol,Tasa_Muertos_Alcohol,Total_Heridos,Tasa_Heridos,Total_Heridos_Alcohol,Tasa_Heridos_Alcohol,Total_Cinturon_Uso,Total_Cinturon_Tasa,Total_Fugas,Total_Fugas_Tasa
101,1998,30,Hermosillo,609829,4790,7.854660896743186,35,0.05739313807641158,4,0.006559215780161324,2290,3.755151034142358,499,0.8182621685751251,0,0.0,939,1.539775904392871
102,1998,31,Huachinera,1147,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
103,1998,32,Huásabas,966,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
104,1998,33,Huatabampo,76296,126,1.651462724127084,10,0.13106847016881618,0,0.0,97,1.271364160637517,25,0.3276711754220405,0,0.0,5,0.06553423508440809
105,1998,34,Huépac,1142,2,1.7513134851138354,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
106,1998,35,Imuris,9988,21,2.10252302763316,3,0.30036043251902284,1,0.1001201441730076,14,1.4016820184221066,2,0.2002402883460152,0,0.0,3,0.30036043251902284
107,1998,36,Magdalena,24447,63,2.5770033132899743,0,0.0,0,0.0,32,1.3089540638933204,3,0.12271444348999877,0,0.0,3,0.12271444348999877
108,1998,37,Mazatán,1584,11,6.944444444444444,1,0.6313131313131314,0,0.0,15,9.46969696969697,0,0.0,0,0.0,0,0.0
109,1998,38,Moctezuma,4187,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
110,1998,39,Naco,5370,6,1.1173184357541899,1,0.186219739292365,0,0.0,3,0.5586592178770949,1,0.186219739292365,0,0.0,0,0.0
111,1998,40,Nácori Chico,2236,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
112,1998,41,Nacozari de García,14365,116,8.07518273581622,5,0.3480682213713888,0,0.0,24,1.6707274625826662,2,0.1392272885485555,0,0.0,3,0.20884093282283328
113,1998,42,Navojoa,140650,849,6.036260220405262,25,0.17774617845716317,2,0.014219694276573052,354,2.5168858869534305,25,0.17774617845716317,0,0.0,111,0.7891930323498044
114,1998,43,Nogales,159787,2083,13.036104313867837,9,0.05632498263313035,2,0.012516662807362302,682,4.268182017310545,102,0.6383498031754774,0,0.0,183,1.1452746468736505
115,1998,44,Onavas,479,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
116,1998,45,Opodepe,2831,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
117,1998,46,Oquitoa,402,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
118,1998,47,Pitiquito,9236,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
119,1998,48,Puerto Peñasco,31157,670,21.50399589177392,5,0.16047758128189493,2,0.06419103251275797,183,5.873479474917354,62,1.9899220078954971,0,0.0,52,1.6689668453317072
120,1998,49,Quiriego,3335,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
